identity_id,relation,other_name,other_identity_id,other_wikidata_id
27,enemy,Vulture,45,Q2296291
27,enemy,Electro,13,Q2297886
27,enemy,Richard Fisk,,Q2436122
27,enemy,Doppelganger,,Q2440293
27,enemy,Silvermane,,Q2500449
27,enemy,Molten Man,,Q2534462
27,enemy,Carrion,82,Q2555885
27,enemy,"Sadie ""Christmas"" / Lasher (symbiote)",161,Q2578146
27,enemy,Jackal,,Q2584005
27,enemy,Mendel Stromm,183,Q2585537
27,enemy,Boomerang,,Q2604725
27,enemy,Tinkerer,42,Q2623764
27,enemy,Hood,,Q2624726
27,enemy,Puma,,Q2628556
27,enemy,Hammerhead,122,Q2719607
27,enemy,Alistair Smythe,53,Q2837209
27,enemy,Big Wheel,68,Q2902368
27,enemy,Scorpion,30,Q2917078
27,enemy,Calypso,4,Q2934584
27,enemy,Spot,,Q3031868
27,enemy,Spencer Smythe (PS2/PSP),241,Q3080800
27,enemy,Jonas Harrow,,Q3183266
27,enemy,Martin Li / Mister Negative,175,Q3316968
27,enemy,Rocket Racer,,Q3440451
27,enemy,Slyde,,Q3486816
27,enemy,Stegron,,Q3498060
27,enemy,Stunner,,Q3501133
27,enemy,Black Tarantula,,Q3544440
27,enemy,Hitman,,Q3551286
27,enemy,White Rabbit,,Q3686980
27,enemy,Walrus,,Q3998685
27,enemy,Vermin,253,Q4010081
27,enemy,Phil Urich,,Q4483669
27,enemy,Bloodshed,,Q4928002
27,enemy,Enforcers,,Q5377360
27,enemy,Farley Stillwell,108,Q5435440
27,enemy,Man Mountain Marko,,Q6746231
27,enemy,Montana,,Q6904213
27,enemy,Swarm,,Q7653886
27,enemy,Roderick Kingsley,,Q9311511
27,enemy,Abner Jenkins,,Q16203115
27,enemy,Janice Lincoln,142,Q16203548
27,enemy,Fancy Dan,,Q20656907
27,enemy,Sinister Six,,Q2082275
27,enemy,Sin-Eater (comics),,Q11680813
27,mother,Mary Parker,181,Q102268990
27,father,Richard Parker,222,Q102268961
27,spouse,Mary Jane Parker,178,Q27810
27,child,Spider-Girl,35,Q2186500
27,child,Benjamin Richard Parker,,Q4889166
27,child,Felicity Hardy,,Q5441790
27,partner,Gwen Stacy,16,Q945817
27,partner,Black Cat,3,Q912640
27,partner,Betty Brant,67,Q2628255
27,partner,Carlie Cooper,,Q3658902
27,partner,Debra Whitman,,Q3704417
27,partner,Mary Jane Parker,178,Q27810
27,partner,Liz Allan,163,Q1132203
27,partner,Star-Lord / Peter Quill,211,Q547306
27,relative,Uncle Ben,44,Q2299139
27,relative,Aunt May,1,Q2453332
27,relative,Richard Parker,222,Q102268961
27,alternate_universe_counterpart,Ultimate Spider-Man,,Q47471875
27,alternate_universe_counterpart,Spider-Man Noir,37,Q3966701
27,alternate_universe_counterpart,Spider-Ham,36,Q3966700
27,alternate_universe_counterpart,Pavitr Prabhakar / Spider-Man India,208,Q48732969
27,alternate_universe_counterpart,Spider-Man,,Q48739522
28,enemy,Peter Parker / Spider-Man,27,Q79037
29,enemy,Peter Parker / Spider-Man,27,Q79037
3,father,Walter Hardy,256,Q7965074
3,child,Felicity Hardy,,Q5441790
3,partner,Peter Parker / Spider-Man,27,Q79037
3,partner,Daredevil,8,Q327553
3,partner,Puma,,Q2628556
3,partner,Flash Thompson,110,Q552000
3,alternate_universe_counterpart,Ultimate Black Cat,,Q4003164
30,enemy,Peter Parker / Spider-Man,27,Q79037
31,enemy,Peter Parker / Spider-Man,27,Q79037
32,enemy,Cloak and Dagger,,Q2419540
34,spouse,The Foreigner,247,Q3545603
35,mother,Mary Jane Parker,178,Q27810
35,father,Peter Parker / Spider-Man,27,Q79037
36,alternate_universe_counterpart,Peter Parker / Spider-Man,27,Q79037
